text,error,cardiff_label,cardiff_score,lime_cardiff,shap_cardiff
"India is one nasty, dirty, filthy, germsy, lawless country.",,HATE,0.9943009614944458,"country: -0.128, India: -0.112, filthy: -0.096, is: 0.068, germsy: -0.062, nasty: -0.054, dirty: -0.049, lawless: -0.046, one: 0.010","India : -0.138, is : -0.029, one : 0.085, nasty: -0.194, , : -0.121, dirty: -0.161, , : -0.069, filthy: -0.221, , : -0.065, ger: 0.048, ms: -0.027, y: -0.033, , : 0.019, law: 0.023, less : -0.086, country: -0.070, .: 0.048"
solo que seras bombardeas y destruidos como los a los antiguos alemanes la mejor raza masacrada solo virus kike,,HATE,0.9579125642776489,"virus: -0.645, a: 0.285, kike: -0.258, solo: -0.148, bombardeas: -0.111, mejor: 0.108, los: -0.104, antiguos: -0.054, destruidos: -0.048, que: -0.046","s: -0.033, olo : -0.014, que : -0.002, ser: -0.027, as : 0.012, bombard: -0.009, eas : 0.012, y : 0.007, dest: 0.001, ru: 0.004, id: 0.001, os : 0.004, com: -0.002, o : 0.016, los : 0.012, a : 0.013, los : 0.018, ant: 0.001, ig: -0.006, os : -0.005, man: -0.004, la : 0.012, me: 0.001, j: 0.001, aza : 0.004, mas: -0.001, solo : -0.014, virus : -0.604, k: -0.225, ike: -0.118"
@user @user You cannot argue with a retard jerusalemofiron who lives in a beggar state stolen b\u2026 @URL,,HATE,0.9948639273643494,"retard: -0.670, beggar: -0.120, jerusalemofiron: -0.107, state: -0.051, lives: -0.043, stolen: -0.042, URL: 0.039, in: 0.034, u2026: 0.021, with: 0.021","@: 0.015, user : 0.069, @: -0.003, user : 0.031, You : 0.029, cannot : -0.004, argue : 0.031, with : 0.069, a : -0.271, retard : -0.471, jer: -0.010, usalem: -0.020, iron : 0.021, who : -0.022, lives : 0.038, in : 0.011, a : -0.009, begg: -0.106, ar : -0.078, state : -0.114, stolen : -0.087, b: -0.043, \: 0.027, u: -0.047, 20: -0.042, 26 : 0.003, @: -0.107, URL: 0.107"
Can I just pound that pussy an pull your hair. Till I cum on your tits. 🍑🍆,,HATE,0.9775882959365845,"your: -0.596, tits: -0.150, hair: -0.140, on: -0.122, pussy: -0.112, cum: -0.086, pull: -0.073, that: -0.067, Till: -0.060, an: -0.048","Can : 0.012, I : -0.012, just : -0.021, pound : 0.002, that : -0.096, pussy : -0.325, an : -0.033, pull : 0.002, your : -0.020, hair: -0.008, . : -0.003, Till : -0.006, I : 0.033, cum : -0.028, on : -0.075, your : -0.263, tits: -0.115, . : -0.025, 🍑: -0.002, 🍑: -0.003, 🍑: -0.003, 🍆: -0.002, 🍆: 0.008, 🍆: 0.007"
you do not live in america nazi faggot but you vote the young nazi boy faggot parties tho,,HATE,0.9856496453285217,"faggot: -0.890, nazi: -0.067, young: 0.040, boy: 0.025, do: 0.025, the: 0.023, not: 0.017, america: -0.017, you: -0.015, tho: 0.015","you : 0.001, do : 0.003, not : -0.003, live : 0.005, in : -0.004, americ: -0.004, a : 0.003, n: 0.028, azi : -0.215, f: -0.091, agg: -0.212, ot : -0.002, but : 0.001, the : 0.009, young : -0.004, n: 0.002, azi : -0.245, f: -0.058, agg: -0.193, ot : -0.002, parties : 0.002"
"The Infeltrators should be released to sanctuary cities where they are welcomed. With Congress total BETRAYAL in the American People's safety and activist judges making things even worse by enabling lawlessness, ONLY President Trump's executive emergency powers to build a border security wall and override asylum rules will SAVE America from being overrun by millions INVASION, a National Emergency CRISIS the likes of which we've never seen before including terrorists, weapons, criminals, lethal drugs, child trafficking and medieval diseases.",,HATE,0.9841342568397522,"asylum: -0.142, wall: -0.136, diseases: -0.133, Infeltrators: -0.114, criminals: -0.102, American: -0.097, ONLY: -0.092, The: -0.091, overrun: -0.088, With: 0.037","The : -0.103, Inf: -0.115, elt: -0.001, rators : -0.023, sanctuary : -0.142, cities : -0.023, where : -0.024, they : -0.043, . : -0.006, ONLY : 0.006, President : 0.006, Trump: 0.012, 's : 0.003, executive : 0.027, emergency : 0.023, powers : 0.009, to : 0.010, build : -0.010, border : 0.001, security : 0.001, wall : 0.001, and : 0.001, override : 0.003, asylum : 0.003, rules : 0.008, will : 0.008, SA: -0.007, VE : -0.018, America : -0.014, from : -0.010, being : -0.014, overrun : -0.016, by : -0.020, millions : -0.004, INV: -0.031, AS: -0.009, ION: 0.010, , : 0.002, a : -0.009, National : -0.009, Emergency : -0.016, CR: -0.006, ISIS : -0.018, the : -0.011, likes : -0.007, which : 0.014, we: -0.005, 've : -0.006, never : 0.001, seen : 0.001, before : -0.016, including : -0.016, terrorists: -0.101, , : 0.006, weapons: -0.026, , : -0.026, criminals: -0.035, , : -0.033, , : 0.010, child : -0.026, trafficking : -0.026, and : -0.010, medieval : -0.046, diseases: -0.040, .: -0.021"
These Niggas Suck.,,HATE,0.995988667011261,"Niggas: -0.913, These: 0.059, Suck: 0.017","These : -0.223, N: -0.198, igg: -0.165, as : -0.330, S: -0.141, uck: -0.144, .: 0.207"
<user> ching chong oil 🤧,,HATE,0.9985311031341553,"chong: -0.653, ching: -0.273, oil: -0.264, user: -0.085","ch: -0.106, ing : -0.101, ch: -0.251, ong : -0.537, oil : -0.001, 🤧: 0.001"
"Yeah, apologise like the weak fucking cuck you are",,HATE,0.9665958881378174,"cuck: -0.673, weak: -0.160, the: 0.108, fucking: -0.100, you: 0.047, are: -0.020, Yeah: 0.019, apologise: -0.017, like: 0.008","Yeah: 0.007, , : 0.004, apologise : -0.061, like : 0.003, the : 0.082, weak : -0.236, fucking : -0.194, c: -0.374, uck : -0.257, you : 0.036, are: 0.025"
Wow! This woman is a true IDIOT! Stupid lady!,,HATE,0.991703987121582,"IDIOT: -0.354, Stupid: -0.339, lady: -0.131, woman: -0.094, Wow: 0.040, true: -0.027, This: -0.008, a: 0.007, is: -0.002","Wow: -0.035, ! : -0.008, This : -0.029, woman : 0.056, is : 0.069, a : 0.075, true : -0.018, ID: -0.095, I: -0.040, OT: -0.125, ! : -0.050, Stupid : -0.422, lady: -0.360, !: -0.007"
